Clave,Descripción
27272163,27272163 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 29/03/2025 - 31/03/2025]  Duración:16 Hrs.
27272162,27272162 - Inducción a la Seguridad e Higiene.  [ 18/03/2025 - 18/03/2025]  Duración:8 Hrs.
27272161,27272161 - MANEJO DE CUERDAS Y NUDOS.  [ 21/03/2025 - 22/03/2025]  Duración:16 Hrs.
27272160,27272160 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 18/03/2025 - 19/03/2025]  Duración:16 Hrs.
27272159,27272159 - MANEJO DE CUERDAS Y NUDOS.  [ 07/03/2025 - 08/03/2025]  Duración:16 Hrs.
27272158,27272158 - Inducción a la Seguridad e Higiene.  [ 18/03/2025 - 18/03/2024]  Duración:8 Hrs.
27272157,27272157 - Inducción a la Seguridad e Higiene.  [ 26/03/2025 - 26/03/2025]  Duración:8 Hrs.
27272156,27272156 - MANEJO DE CUERDAS Y NUDOS.  [ 11/03/2025 - 12/03/2025]  Duración:16 Hrs.
27272155,27272155 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 10/03/2025 - 11/03/2025]  Duración:16 Hrs.
27272154,27272154 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 15/03/2025 - 18/03/2025]  Duración:16 Hrs.
27272153,27272153 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 27/03/2025 - 28/03/2025]  Duración:16 Hrs.
27272152,27272152 - MANEJO DE CUERDAS Y NUDOS.  [ 13/03/2025 - 14/03/2025]  Duración:16 Hrs.
27272151,27272151 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 26/03/2025 - 27/03/2025]  Duración:16 Hrs.
27272150,27272150 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 15/03/2025 - 17/03/2025]  Duración:16 Hrs.
27272149,27272149 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 15/03/2025 - 18/03/2025]  Duración:16 Hrs.
27272131,27272131 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 29/03/2025 - 31/03/2025]  Duración:16 Hrs.
27272130,27272130 - Inducción a la Seguridad e Higiene.  [ 24/03/2025 - 24/03/2025]  Duración:8 Hrs.
27272129,27272129 - Inducción a la Seguridad e Higiene.  [ 05/03/2025 - 05/03/2025]  Duración:8 Hrs.
27272128,27272128 - Inducción a la Seguridad e Higiene.  [ 06/03/2025 - 06/03/2025]  Duración:8 Hrs.
27272127,27272127 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 15/03/2025 - 17/03/2025]  Duración:16 Hrs.
27272126,27272126 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 08/03/2025 - 10/03/2025]  Duración:16 Hrs.
27272125,27272125 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 24/03/2025 - 25/03/2025]  Duración:16 Hrs.
27272124,27272124 - Inducción a la Seguridad e Higiene.  [ 20/03/2025 - 20/03/2025]  Duración:8 Hrs.
27272123,27272123 - Inducción a la Seguridad e Higiene.  [ 12/03/2025 - 12/03/2025]  Duración:8 Hrs.
27272122,27272122 - MEDIDAS DE SEGURIDAD EN TRABAJO EN ALTURAS.  [ 13/03/2025 - 14/03/2025]  Duración:16 Hrs.
27272121,27272121 - Inducción a la Seguridad e Higiene.  [ 10/03/2025 - 10/03/2025]  Duración:8 Hrs.
27272120,27272120 - MANEJO DE CUERDAS Y NUDOS.  [ 05/03/2025 - 06/03/2025]  Duración:16 Hrs.
27272119,27272119 - MEDIDAS DE SEGURIDAD EN TRABAJO ELÉCTRICO.  [ 10/03/2025 - 11/03/2025]  Duración:16 Hrs.
27272118,27272118 - Inducción a la Seguridad e Higiene.  [ 04/03/2025 - 04/03/2025]  Duración:8 Hrs.
